82	Brasília, DF	28/09/1997	015	018	029	036	051	053	1	77	5889	13.877.826,02	15.982,73	208,57	
83	Brasília, DF	05/10/1997	004	015	016	024	042	057	0	76	4756	0,00	9.408,43	150,04	
84	Brasília, DF	12/10/1997	004	006	010	025	034	040	0	102	5546	0,00	7.539,68	138,40	
85	Brasília, DF	19/10/1997	006	015	030	037	045	047	0	45	4312	0,00	17.279,25	179,96	
86	Brasília, DF	26/10/1997	006	021	022	034	036	054	0	48	3752	0,00	16.752,96	213,90	
87	Brasília, DF	02/11/1997	004	005	011	028	032	040	0	64	5195	0,00	12.696,60	156,11	
88	Brasília, DF	09/11/1997	004	018	029	037	043	045	0	110	6805	0,00	7.965,82	128,51	
89	Brasília, DF	16/11/1997	013	034	042	044	055	059	0	36	3847	0,00	24.246,00	226,45	
90	Brasília, DF	23/11/1997	009	021	026	040	052	054	1	74	4763	15.764.300,87	18.584,49	288,17	
91	Brasília, DF	30/11/1997	002	004	010	035	039	060	0	68	3878	0,00	9.588,80	167,81	
92		07/12/1997	001	003	005	023	024	051	0	75	5530	0,00	9.792,64	132,56	
93		14/12/1997	002	022	028	031	036	053	0	61	3795	0,00	12.369,31	198,44	
94		21/12/1997	008	018	028	051	052	055	0	25	2086	0,00	31.457,49	376,26	
95		28/12/1997	006	040	045	046	050	060	0	22	2185	0,00	30.807,89	309,58	
96		04/01/1998	004	007	026	040	042	058	1	62	3984	5.218.562,47	11.993,17	186,27	
97		11/01/1998	005	011	014	035	053	056	1	56	3441	727.932,66	10.832,33	175,94	
98		18/01/1998	013	014	031	033	035	043	0	89	4972	0,00	6.508,88	116,28	
99	Brasília, DF	25/01/1998	011	024	030	033	046	060	0	46	3015	0,00	14.037,92	213,76	
100		01/02/1998	014	029	030	046	048	051	0	56	3600	0,00	15.930,48	247,32	
101		08/02/1998	001	018	029	031	037	039	0	52	4653	0,00	20.589,41	229,64	
102		15/02/1998	019	020	037	042	044	056	1	73	6197	11.336.626,88	16.743,36	196,85	
